id,name,price,image
1, Chicken Empanadas, 2.01, empanadas_de_pollo.jpg
2, Black Pepper, 3.29, pimienta_negra.jpg
3, Potato Chips, 3.37, papas_chips.jpg
4, Plain Yogurt, 3.09, yogurt_natural.jpg
5, Chicken Soup, 2.65, sopa_de_pollo.jpg
6, Jalapeño Peppers, 5.08, chiles_jalapeños.jpg
7, Rye Bread, 3.89, pan_de_centeno.jpg
8, Cola Soda, 4.76, refresco_cola.jpg
9, Multigrain Cereal, 2.59, cereal_multigrano.jpg
10, Pecan Nut, 4.13, nuez_pecana.jpg
11, Personal Pizza, 3.56, pizza_individual.jpg
12, Coffee Slushie, 4.84, granizado_de_café.jpg
13, Turkey Ham, 3.13, jamón_de_pavo.jpg
14, Tomatoes, 3.44, tomates.jpg
15, Cheddar Cheese, 1.61, queso_cheddar.jpg
16, Cat Litter, 2.25, arena_para_gato.jpg
17, Banana Smoothie, 4.59, licuado_de_plátano.jpg
18, Toothbrush, 1.5, cepillo_de_dientes.jpg
19, Apples, 4.93, manzanas.jpg
20, Cupcakes, 2.75, panquecitos.jpg
